ticker,date,accountsPayable,totalCashFromOperatingActivities,changeToNetincome,researchDevelopment,totalStockholderEquity,incomeTaxExpense,netTangibleAssets,effectOfExchangeRate,otherAssets,deferredLongTermAssetCharges,otherLiab,discontinuedOperations,depreciation,nonRecurring,longTermDebt,shortTermInvestments,totalOperatingExpenses,cash,longTermInvestments,capitalExpenditures,dividendsPaid,treasuryStock,repurchaseOfStock,changeToLiabilities,incomeBeforeTax,changeToOperatingActivities,otherCashflowsFromFinancingActivities,totalOtherIncomeExpenseNet,interestExpense,totalCashflowsFromInvestingActivities,totalCurrentLiabilities,effectOfAccountingCharges,otherCurrentAssets,extraordinaryItems,otherCashflowsFromInvestingActivities,operatingIncome,ebit,goodWill,commonStock,otherStockholderEquity,totalAssets,investments,totalLiab,inventory,netIncomeApplicableToCommonShares,sellingGeneralAdministrative,grossProfit,changeToAccountReceivables,issuanceOfStock,netIncome,otherOperatingExpenses,shortLongTermDebt,otherItems,intangibleAssets,netIncomeFromContinuingOps,costOfRevenue,minorityInterest,netReceivables,propertyPlantEquipment,deferredLongTermLiab,totalRevenue,changeToInventory,totalCurrentAssets,netBorrowings,totalCashFromFinancingActivities,otherCurrentLiab,capitalSurplus,changeInCash,retainedEarnings,company_name,sector,subsector
ADI,2019-11-02,225270000.0,2253100000.0,114121000.0,1130348000,11709188000.0,122717000,-4764916000.0,-1389000.0,1636098000.0,1582382000.0,2982569000.0,,811251000.0,,5192252000.0,,4184601000,648322000.0,77324000.0,-275372000.0,-777481000.0,-187799000.0,-613005000.0,-6371000.0,1485728000,-67024000.0,-2831000.0,-320736000,-229075000,-293186000.0,1508632000.0,,65000.0,,-6644000.0,1806464000,1806464000,12256880000.0,61385000.0,-187799000.0,21392641000.0,30125000.0,9683453000.0,609886000.0,1359782000,647897000.0,4013750000,5890000.0,116523000.0,1363011000,,438465000.0,,4217224000.0,1363011000,1977315000,,635136000.0,1219989000.0,,5991065000,-42771000.0,1985126000.0,-850000000.0,-2126794000.0,414899000.0,4936349000.0,-168269000.0,6899253000.0,"Analog Devices, Inc.",Technology,Semiconductors
ADI,2018-11-03,260919000.0,2442361000.0,-542642000.0,1165047000,11268173000.0,148334000,-5762623000.0,-1568000.0,110950000.0,9665000.0,1852771000.0,,799063000.0,,6265674000.0,,4264839000,816591000.0,30166000.0,-254876000.0,-703307000.0,-58440000.0,-225977000.0,-18397000.0,1655314000,694520000.0,3437000.0,-304536000,-253589000,-313998000.0,1051748000.0,,,,-6283000.0,1959850000,1959850000,12252604000.0,61694000.0,-58440000.0,20438366000.0,30125000.0,9170193000.0,586760000.0,1501071000,696597000.0,4250396000,45979000.0,99027000.0,1506980000,,67000000.0,,4778192000.0,1506980000,1974293000,,639717000.0,1154328000.0,,6224689000,-34636000.0,2112126000.0,-1531222000.0,-2358042000.0,253761000.0,5282222000.0,-231247000.0,5982697000.0,"Analog Devices, Inc.",Technology,Semiconductors
AEP,2020-12-31,1709700000.0,3832900000.0,-446400000.0,,20550900000.0,40500000,20498400000.0,,10178900000.0,,20200200000.0,,2711500000.0,,28986400000.0,200800000.0,11811800000,392700000.0,1406300000.0,-6316000000.0,-1415000000.0,-85100000.0,,-35300000.0,2237200000,-368900000.0,-198900000.0,-869500000,-1165700000,-6233900000.0,9926700000.0,,293000000.0,,82100000.0,3106700000,3106700000,52500000.0,3359300000.0,-85100000.0,80757200000.0,,59982700000.0,1310000000.0,2200100000,-119000000.0,6966000000,-129300000.0,155000000.0,2200100000,1295500000,2086100000.0,,,2196700000,7952500000,223600000.0,2028000000.0,64768000000.0,5075600000.0,14918500000,-142900000.0,4351500000.0,3865600000.0,2406700000.0,3075500000.0,6588900000.0,5700000.0,10687800000.0,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric
AEP,2019-12-31,2085800000.0,4270100000.0,27800000.0,,19632200000.0,-12900000,19579700000.0,,9309900000.0,,19503700000.0,,2429300000.0,,25126800000.0,202700000.0,12692700000,246800000.0,1356600000.0,-6143700000.0,-1345500000.0,-147700000.0,,5800000.0,1906900000,-282500000.0,-30300000.0,-961800000,-1072500000,-7144500000.0,10299100000.0,,511900000.0,,-82400000.0,2868700000,2868700000,52500000.0,3343400000.0,-147700000.0,75892300000.0,,55913400000.0,1169200000.0,1921100000,-120000000.0,6497700000,247800000.0,65300000.0,1921100000,1234500000,1598700000.0,,,1919800000,9063700000,346700000.0,1790900000.0,61095500000.0,4618700000.0,15561400000,-248200000.0,4077800000.0,4173400000.0,2862900000.0,3232300000.0,6535600000.0,-11500000.0,9900900000.0,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric
AEP,2018-12-31,1874300000.0,5223200000.0,670200000.0,,19028400000.0,115300000,18975900000.0,,8673700000.0,,19143500000.0,,2078800000.0,,21648200000.0,159100000.0,13317900000,234100000.0,863600000.0,-6357000000.0,-1251100000.0,-120400000.0,,36600000.0,2046600000,160300000.0,-30600000.0,-831200000,-984400000,-6353600000.0,8648800000.0,,664300000.0,,3400000.0,2877800000,2877800000,52500000.0,3337400000.0,-120400000.0,68802800000.0,,49674000000.0,921100000.0,1923800000,-124500000.0,6182600000,145900000.0,73600000.0,1923800000,1142700000,1698500000.0,,,1931300000,10013100000,100400000.0,1926500000.0,55099100000.0,4632000000.0,16195700000,20700000.0,4113900000.0,2370000000.0,1161900000.0,2870300000.0,6486100000.0,31500000.0,9325300000.0,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric
AEP,2017-12-31,2065300000.0,4270400000.0,669600000.0,,18287000000.0,969700000,18234500000.0,,9332900000.0,,18485800000.0,,1838200000.0,,19419600000.0,161700000.0,11993700000,214600000.0,829100000.0,-5799300000.0,-1178300000.0,-67800000.0,,-58000000.0,2898600000,-242500000.0,-63300000.0,-532600000,-895000000,-3656400000.0,8271300000.0,,722200000.0,,-16700000.0,3431200000,3431200000,52500000.0,3329400000.0,-67800000.0,64729100000.0,,46415500000.0,953200000.0,1912600000,-45500000.0,6442300000,28500000.0,12200000.0,1912600000,1059400000,1753700000.0,,,1928900000,8982600000,26600000.0,1891000000.0,50261500000.0,4849000000.0,15424900000,17900000.0,4253100000.0,624500000.0,-604900000.0,2510800000.0,6398700000.0,9100000.0,8626700000.0,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric
AGCO,2020-12-31,855100000.0,896500000.0,2600000.0,342600000,2980000000.0,187700000,1217900000.0,8800000.0,257400000.0,77600000.0,731000000.0,,272000000.0,,1256700000.0,,8517600000,1119100000.0,442700000.0,-269900000.0,-48000000.0,-1810800000.0,-74800000.0,-59100000.0,607500000,224700000.0,-4500000.0,-24600000,-24900000,-241700000.0,3362800000.0,,418900000.0,,,632100000,632100000,1306500000.0,800000.0,-1810800000.0,8504200000.0,29100000.0,5486200000.0,1974400000.0,427100000,1008900000.0,2057500000,-90500000.0,,427100000,,325900000.0,,455600000.0,419800000,7092200000,38000000.0,856000000.0,1673600000.0,,9149700000,119700000.0,4368400000.0,150000000.0,22700000.0,901400000.0,30900000.0,686300000.0,4759100000.0,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery
AGCO,2019-12-31,914800000.0,695900000.0,237500000.0,343400000,2853800000.0,180800000,1053800000.0,-4200000.0,246800000.0,93800000.0,615800000.0,,272000000.0,,1191800000.0,,8518100000,432800000.0,380200000.0,-273400000.0,-48000000.0,-1595200000.0,-158100000.0,35700000.0,303600000,178000000.0,1100000.0,-219700000,-28800000,-271600000.0,2884500000.0,,417100000.0,,,523300000,523300000,1298300000.0,800000.0,-1595200000.0,7759700000.0,-3100000.0,4852700000.0,2078700000.0,125200000,1050800000.0,1984300000,63800000.0,,125200000,,2900000.0,,501700000.0,122800000,7057100000,53200000.0,800500000.0,1603600000.0,,9041400000,-216300000.0,3729100000.0,-108400000.0,-313400000.0,653300000.0,4700000.0,106700000.0,4443500000.0,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery
AGCO,2018-12-31,865900000.0,595900000.0,53700000.0,355200000,2932900000.0,110900000,864300000.0,-18700000.0,247300000.0,104900000.0,579900000.0,,289900000.0,,1275300000.0,,8854500000,326100000.0,400000000.0,-203300000.0,-47100000.0,-1555400000.0,-188300000.0,-24300000.0,394600000,142100000.0,-1800000.0,-102900000,-37400000,-205500000.0,2766700000.0,,422300000.0,,400000.0,497500000,497500000,1495500000.0,800000.0,-1555400000.0,7626400000.0,-5800000.0,4632900000.0,1908700000.0,285500000,1072900000.0,1996700000,63300000.0,,285500000,,72600000.0,,573100000.0,283700000,7355300000,60600000.0,880300000.0,1373100000.0,,9352000000,-214300000.0,3537400000.0,-176100000.0,-413300000.0,609700000.0,10200000.0,-41600000.0,4477300000.0,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery
AGCO,2017-12-31,917500000.0,577600000.0,71200000.0,323400000,3029600000.0,133600000,839200000.0,30800000.0,259300000.0,112200000.0,602900000.0,,279800000.0,,1622900000.0,,7892100000,367700000.0,409000000.0,-203900000.0,-44500000.0,-1361600000.0,-6900000.0,123500000.0,322900000,147400000.0,500000.0,-91500000,-54500000,-493700000.0,2650600000.0,,367700000.0,,400000.0,414400000,414400000,1541400000.0,800000.0,-1361600000.0,7971700000.0,-800000.0,4876400000.0,1872900000.0,186400000,965900000.0,1765300000,-34700000.0,,186400000,,95400000.0,,649000000.0,189300000,6541200000,65700000.0,1019400000.0,1485300000.0,,8306500000,-196000000.0,3627700000.0,-125800000.0,-176700000.0,633300000.0,136600000.0,-62000000.0,4253800000.0,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery
AMAT,2021-10-31,1472000000.0,5442000000.0,504000000.0,2485000000,12247000000.0,883000000,8664000000.0,,1852000000.0,1623000000.0,1554000000.0,,394000000.0,,5452000000.0,464000000.0,15806000000,4995000000.0,2055000000.0,-668000000.0,-838000000.0,-28255000000.0,-3928000000.0,1220000000.0,6771000000,-566000000.0,,-486000000,-236000000,-1216000000.0,6344000000.0,,593000000.0,,,7257000000,7257000000,3479000000.0,9000000.0,-260000000.0,25825000000.0,-536000000.0,13578000000.0,4309000000.0,5888000000,1184000000.0,10926000000,-1989000000.0,175000000.0,5888000000,,,,104000000.0,5888000000,12137000000,,5154000000.0,2228000000.0,,23063000000,-405000000.0,16107000000.0,,-4591000000.0,3812000000.0,8247000000.0,-365000000.0,32246000000.0,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
AMAT,2020-10-25,1124000000.0,3804000000.0,447000000.0,2234000000,10578000000.0,547000000,6959000000.0,,1971000000.0,1711000000.0,1673000000.0,,376000000.0,,5448000000.0,387000000.0,12734000000,5351000000.0,1538000000.0,-422000000.0,-787000000.0,-24544000000.0,-821000000.0,311000000.0,4166000000,-91000000.0,,-302000000,-240000000,-130000000.0,4459000000.0,,162000000.0,,,4468000000,4468000000,3466000000.0,9000000.0,-299000000.0,22353000000.0,399000000.0,11775000000.0,3904000000.0,3619000000,1013000000.0,7715000000,-427000000.0,174000000.0,3619000000,,,,153000000.0,3619000000,9487000000,,3111000000.0,1856000000.0,,17202000000,-421000000.0,13369000000.0,97000000.0,-1337000000.0,2402000000.0,7904000000.0,2337000000.0,27209000000.0,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
AMAT,2019-10-27,958000000.0,3247000000.0,293000000.0,2054000000,8214000000.0,563000000,4659000000.0,,2031000000.0,1766000000.0,1650000000.0,,363000000.0,,4713000000.0,489000000.0,11236000000,3129000000.0,1703000000.0,-441000000.0,-771000000.0,-23776000000.0,-2489000000.0,-112000000.0,3269000000,-88000000.0,,-103000000,-237000000,-443000000.0,4447000000.0,,96000000.0,,,3372000000,3372000000,3399000000.0,9000000.0,-180000000.0,19024000000.0,26000000.0,10810000000.0,3474000000.0,2706000000,960000000.0,6386000000,-207000000.0,145000000.0,2706000000,,600000000.0,,156000000.0,2706000000,8222000000,,2641000000.0,1529000000.0,,14608000000,248000000.0,10206000000.0,97000000.0,-3115000000.0,2237000000.0,7595000000.0,-311000000.0,24386000000.0,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
AMAT,2018-10-28,996000000.0,3787000000.0,333000000.0,2022000000,6845000000.0,1358000000,3264000000.0,,473000000.0,225000000.0,1557000000.0,,457000000.0,,5309000000.0,590000000.0,12209000000,3440000000.0,1568000000.0,-622000000.0,-605000000.0,-21319000000.0,-5447000000.0,245000000.0,4396000000,-174000000.0,,32000000,-234000000,571000000.0,3922000000.0,,40000000.0,,,4496000000,4496000000,3368000000.0,10000000.0,-125000000.0,17633000000.0,1199000000.0,10788000000.0,3721000000.0,3038000000,999000000.0,7517000000,16000000.0,124000000.0,3038000000,,,,213000000.0,3038000000,9188000000,,2422000000.0,1407000000.0,,16705000000,-1014000000.0,10604000000.0,97000000.0,-5928000000.0,2137000000.0,7274000000.0,-1570000000.0,20880000000.0,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
AMD,2021-12-25,1406000000.0,3521000000.0,665000000.0,2845000000,7497000000.0,513000000,6880000000.0,,2081000000.0,931000000.0,333000000.0,,463000000.0,,1000000.0,1073000000.0,12786000000,2535000000.0,69000000.0,-301000000.0,,-2133000000.0,-1999000000.0,801000000.0,3675000000,-379000000.0,,27000000,-34000000,-686000000.0,4240000000.0,,,,-7000000.0,3648000000,3648000000,289000000.0,12000000.0,-3000000.0,12419000000.0,-378000000.0,4922000000.0,1955000000.0,3162000000,1448000000.0,7929000000,-640000000.0,104000000.0,3162000000,-12000000,312000000.0,,328000000.0,3162000000,8505000000,,2708000000.0,1069000000.0,,16434000000,-556000000.0,8583000000.0,,-1895000000.0,27000000.0,11069000000.0,940000000.0,-1451000000.0,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AMD,2020-12-26,546000000.0,1071000000.0,-856000000.0,1983000000,5837000000.0,-1210000000,5319000000.0,,1389000000.0,1245000000.0,177000000.0,,354000000.0,,330000000.0,695000000.0,8394000000,1595000000.0,63000000.0,-294000000.0,,-114000000.0,-78000000.0,-513000000.0,1280000000,218000000.0,-1000000.0,-89000000,-47000000,-952000000.0,2417000000.0,,,,-7000000.0,1369000000,1369000000,289000000.0,12000000.0,17000000.0,8962000000.0,-658000000.0,3125000000.0,1399000000.0,2490000000,995000000.0,4347000000,-219000000.0,85000000.0,2490000000,-12000000,,,229000000.0,2490000000,5416000000,,2076000000.0,849000000.0,,9763000000,-417000000.0,6143000000.0,,6000000.0,75000000.0,10544000000.0,125000000.0,-4605000000.0,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AMD,2019-12-28,1201000000.0,493000000.0,406000000.0,1547000000,2827000000.0,31000000,2328000000.0,,169000000.0,22000000.0,157000000.0,,258000000.0,,486000000.0,37000000.0,6100000000,1466000000.0,58000000.0,-217000000.0,,-53000000.0,-6000000.0,153000000.0,372000000,65000000.0,-1000000.0,-259000000,-94000000,-149000000.0,2359000000.0,,8000000.0,,27000000.0,631000000,631000000,289000000.0,12000000.0,,6028000000.0,41000000.0,3201000000.0,982000000.0,341000000,750000000.0,2868000000,-623000000.0,523000000.0,341000000,-60000000,,,210000000.0,341000000,3863000000,,1879000000.0,705000000.0,,6731000000,-137000000.0,4597000000.0,-473000000.0,43000000.0,74000000.0,9963000000.0,387000000.0,-7095000000.0,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AMD,2018-12-29,1041000000.0,34000000.0,216000000.0,1434000000,1266000000.0,-9000000,751000000.0,,95000000.0,15000000.0,192000000.0,,170000000.0,,1114000000.0,78000000.0,6024000000,1078000000.0,58000000.0,-163000000.0,,-58000000.0,-6000000.0,212000000.0,328000000,18000000.0,5000000.0,-123000000,-121000000,-170000000.0,1984000000.0,,11000000.0,,71000000.0,451000000,451000000,289000000.0,10000000.0,-8000000.0,4556000000.0,-78000000.0,3290000000.0,845000000.0,337000000,562000000.0,2447000000,-806000000.0,70000000.0,337000000,-60000000,136000000.0,,226000000.0,337000000,4028000000,,1251000000.0,348000000.0,,6475000000,-151000000.0,3540000000.0,-41000000.0,28000000.0,24000000.0,8750000000.0,-108000000.0,-7436000000.0,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AMGN,2020-12-31,1421000000.0,10497000000.0,9000000.0,4207000000,9409000000.0,869000000,-21867000000.0,,4055000000.0,,8685000000.0,,3440000000.0,,32895000000.0,4381000000.0,16096000000,6266000000.0,1176000000.0,-608000000.0,-3755000000.0,-985000000.0,-3486000000.0,45000000.0,8133000000,1112000000.0,-90000000.0,-1195000000,-1038000000,-5401000000.0,11653000000.0,,124000000.0,,-75000000.0,9328000000,9328000000,14689000000.0,31802000000.0,-985000000.0,62948000000.0,-4718000000.0,53539000000.0,3893000000.0,7264000000,5730000000.0,19265000000,-427000000.0,,7264000000,,91000000.0,,16587000000.0,7264000000,6159000000,,5324000000.0,5297000000.0,,25424000000,-215000000.0,21144000000.0,2464000000.0,-4867000000.0,2320000000.0,,229000000.0,-21408000000.0,Amgen Inc.,Healthcare,Drug Manufacturers—General
AMGN,2019-12-31,1371000000.0,9150000000.0,4000000.0,4116000000,9673000000.0,1296000000,-24443000000.0,,955000000.0,,9861000000.0,,2035000000.0,,26950000000.0,2874000000.0,13641000000,6037000000.0,799000000.0,-618000000.0,-3509000000.0,-528000000.0,-7702000000.0,164000000.0,9138000000,406000000.0,-42000000.0,-583000000,-1289000000,5709000000.0,12835000000.0,,354000000.0,,-28000000.0,9721000000,9721000000,14703000000.0,31531000000.0,-528000000.0,59707000000.0,19972000000.0,50034000000.0,3584000000.0,7842000000,5150000000.0,19006000000,-504000000.0,,7842000000,19000000.0,2953000000.0,,19413000000.0,7842000000,4356000000,,4652000000.0,5397000000.0,,23362000000,-66000000.0,18440000000.0,-4514000000.0,-15767000000.0,2067000000.0,,-908000000.0,-21330000000.0,Amgen Inc.,Healthcare,Drug Manufacturers—General
